izvor,sekcija,kljuc,sr,en,ru,hr,hu
"interfejs","header","header.aria_kako_funkcionise","Kako KOLO funkcioniše","How KOLO works","Как работает КОЛО","Kako KOLO funkcionira","Hogyan működik a KOLO"
"interfejs","header","header.faq","Česta pitanja","FAQ","Частые вопросы","Česta pitanja","Gyakori kérdések"
"interfejs","header","header.aria_poruke","Poruke","Messages","Сообщения","Poruke","Üzenetek"
"interfejs","header","header.aria_profil","Profil","Profile","Профиль","Profil","Profil"
"interfejs","header","header.aria_notifikacije","Notifikacije","Notifications","Уведомления","Obavijesti","Értesítések"
"interfejs","header","header.poen_objasnjenje","Zapis tvog doprinosa zajednici — kao upis u knjigu, a ne novac. Ne kupuje se, ne menja se za dinare i nema vrednost van sistema.","A record of your contribution to the community — like an entry in a ledger, not money. Cannot be bought, cannot be exchanged for cash, and has no value outside the system.","Запись твоего вклада в сообщество — как запись в книге, а не деньги. Его нельзя купить, нельзя обменять на динары, и он не имеет ценности вне системы.","Zapis tvog doprinosa zajednici — kao upis u knjigu, a ne novac. Ne kupuje se, ne mijenja se za dinare i nema vrijednost izvan sustava.","A közösséghez való hozzájárulásod nyilvántartási bejegyzése — mint egy tétel a főkönyvben, nem pénz. Nem vásárolható meg, nem váltható készpénzre, és a rendszeren kívül nincs értéke."
"interfejs","push","push.na_telefonu","Obaveštenja na telefonu","Notifications on your phone","Уведомления на телефоне","Obavijesti na telefonu","Értesítések a telefonon"
"interfejs","push","push.ukljuci","Uključi","Enable","Включить","Uključi","Bekapcsolás"
"interfejs","push","push.ukljuceno","Uključeno","Enabled","Включено","Uključeno","Bekapcsolva"
"interfejs","push","push.nepodrzano","Ovaj browser ne podržava obaveštenja na uređaju.","This browser does not support device notifications.","Этот браузер не поддерживает уведомления на устройстве.","Ovaj preglednik ne podržava obavijesti na uređaju.","Ez a böngésző nem támogatja az eszközértesítéseket."
"interfejs","push","push.blokirano","Obaveštenja su blokirana u podešavanjima browsera.","Notifications are blocked in your browser settings.","Уведомления заблокированы в настройках браузера.","Obavijesti su blokirane u postavkama preglednika.","Az értesítések le vannak tiltva a böngésző beállításaiban."
"interfejs","bagovi","bagovi.naslov","Bagovi","Bugs","Ошибки","Bugovi","Hibák"
"interfejs","bagovi","bagovi.uvod","Spisak svih prijavljenih grešaka (bagova) na platformi i da li se na njima radi. Ako naiđeš na grešku, prijavi je ovde.","A list of all reported issues (bugs) on the platform and whether they are being worked on. If you run into a problem, report it here.","Список всех сообщений об ошибках на платформе и статус работы над ними. Если вы столкнулись с ошибкой, сообщите о ней здесь.","Popis svih prijavljenih grešaka (bugova) na platformi i radi li se na njima. Ako naiđeš na grešku, prijavi je ovdje.","A platformon bejelentett összes hiba listája, és hogy dolgoznak-e rajtuk. Ha hibát találsz, itt jelentsd be."
"interfejs","bagovi","bagovi.forma_naslov","Prijavi bag","Report a bug","Сообщить об ошибке","Prijavi bug","Hiba bejelentése"
"interfejs","bagovi","bagovi.placeholder_naslov","Kratak naslov greške","Short title of the issue","Краткий заголовок ошибки","Kratak naslov greške","A hiba rövid címe"
"interfejs","bagovi","bagovi.placeholder_opis","Opiši šta se dešava, na kojoj stranici i kako da se greška ponovi.","Describe what happens, on which page, and how to reproduce it.","Опишите, что происходит, на какой странице и как ошибку воспроизвести.","Opiši što se događa, na kojoj stranici i kako se greška može ponoviti.","Írd le, mi történik, melyik oldalon, és hogyan reprodukálható."
"interfejs","bagovi","bagovi.validacija","Naslov mora imati bar 3, a opis bar 10 karaktera.","The title needs at least 3 and the description at least 10 characters.","Заголовок должен содержать не менее 3, а описание не менее 10 символов.","Naslov mora imati barem 3, a opis barem 10 znakova.","A cím legalább 3, a leírás legalább 10 karakter legyen."
"interfejs","bagovi","bagovi.poslato","Hvala! Prijava je zabeležena.","Thanks! Your report has been recorded.","Спасибо! Сообщение записано.","Hvala! Prijava je zabilježena.","Köszönjük! A bejelentést rögzítettük."
"interfejs","bagovi","bagovi.prijavi_btn","Pošalji prijavu","Send report","Отправить сообщение","Pošalji prijavu","Bejelentés küldése"
"interfejs","bagovi","bagovi.lista_naslov","Sve prijave","All reports","Все сообщения","Sve prijave","Összes bejelentés"
"interfejs","bagovi","bagovi.nema_prijava","Još nema prijavljenih bagova.","No bugs reported yet.","Сообщений об ошибках пока нет.","Još nema prijavljenih bugova.","Még nincs bejelentett hiba."
"interfejs","bagovi","bagovi.ti","ti","you","вы","ti","te"
"interfejs","bagovi","bagovi.odgovor_naslov","Odgovor tima","Team response","Ответ команды","Odgovor tima","Csapat válasza"
"interfejs","bagovi","bagovi.admin_promeni_status","Status:","Status:","Статус:","Status:","Állapot:"
"interfejs","bagovi","bagovi.status_PRIJAVLJEN","Prijavljen","Reported","Сообщено","Prijavljen","Bejelentve"
"interfejs","bagovi","bagovi.status_U_RADU","U radu","In progress","В работе","U radu","Folyamatban"
"interfejs","bagovi","bagovi.status_RESENO","Rešeno","Resolved","Исправлено","Riješeno","Megoldva"
"interfejs","bagovi","bagovi.status_ODBIJENO","Odbijeno","Rejected","Отклонено","Odbijeno","Elutasítva"
"interfejs","common","common.ucitavanje","Učitavanje...","Loading...","Загрузка...","Učitavanje...","Betöltés..."
"interfejs","common","common.greska_ucitavanja","Greška pri učitavanju.","Loading error.","Ошибка при загрузке.","Greška pri učitavanju.","Betöltési hiba."
"interfejs","common","common.sacuvaj","Sačuvaj","Save","Сохранить","Spremi","Mentés"
"interfejs","common","common.cuvam","Čuvam...","Saving...","Сохраняю...","Spremam...","Mentés..."
"interfejs","common","common.otkazi","Otkaži","Cancel","Отмена","Otkaži","Mégsem"
"interfejs","common","common.posalji","Pošalji","Send","Отправить","Pošalji","Küldés"
"interfejs","common","common.saljem","Šaljem...","Sending...","Отправляю...","Šaljem...","Küldés..."
"interfejs","common","common.zatvori","Zatvori","Close","Закрыть","Zatvori","Bezárás"
"interfejs","common","common.potvrdi","Potvrdi","Confirm","Подтвердить","Potvrdi","Megerősítés"
"interfejs","common","common.neaktivan","Neaktivan","Inactive","Неактивен","Neaktivan","Inaktív"
"interfejs","common","common.opciono","opciono","optional","необязательно","neobavezno","opcionális"
"interfejs","common","common.verifikovan","Redovan član","Full member","Действительный участник","Redovni član","Rendes tag"
"interfejs","common","common.neverifikovan","Nov član","New member","Новый участник","Novi član","Új tag"
"interfejs","common","common.nema_rezultata","Nema rezultata.","No results.","Нет результатов.","Nema rezultata.","Nincs találat."
"interfejs","common","common.vreme","Vreme","Time","Время","Vrijeme","Idő"
"interfejs","common","common.iznos","Iznos","Amount","Сумма","Iznos","Összeg"
"interfejs","common","common.opis","Opis","Description","Описание","Opis","Leírás"
"interfejs","common","common.poen_dan","POEN/dan","POEN/day","ПОЕН/день","POEN/dan","POEN/nap"
"interfejs","common","common.poen","POEN","POEN","ПОЕН","POEN","POEN"
"interfejs","common","common.zrno","ZRNO","ZRNO","ЗРНО","ZRNO","ZRNO"
"interfejs","common","common.detalji","Detalji →","Details →","Подробнее →","Detalji →","Részletek →"
"interfejs","common","common.pretrazi_clanove","Pretraži članove...","Search members...","Поиск участников...","Pretraži članove...","Tagok keresése…"
"interfejs","common","common.mesto_iz_spiska","Izaberi mesto iz ponuđenog spiska naselja — upiši samo jedno mesto.","Choose a place from the offered list of settlements — enter only one place.","Выберите населённый пункт из предложенного списка — укажите только одно место.","Odaberi mjesto s ponuđenog popisa naselja — upiši samo jedno mjesto.","Válasszon egy települést a felkínált listából — csak egy helyet adjon meg."
"interfejs","seo","seo.site_naslov","KOLO — Sistem uzajamnosti zasnovan na doprinosu zajednici","KOLO — A system of mutuality based on contribution to the community","КОЛО — система взаимности, основанная на вкладе в сообщество","KOLO — Sustav uzajamnosti utemeljen na doprinosu zajednici","KOLO — A közösséghez való hozzájáruláson alapuló kölcsönösségi rendszer"
"interfejs","seo","seo.site_opis","KOLO je sistem evidencije doprinosa zajedničkom dobru, zasnovan na uzajamnosti. POEN beleži šta si dao zajednici, ZRNO ti daje glas u odlukama. Članstvo je besplatno.","KOLO is a system for recording contributions to the common good, based on mutuality. POEN records what you have given to the community; ZRNO gives you a voice in decisions. Membership is free.","КОЛО — это система учёта вклада в общее благо, основанная на взаимности. ПОЕН фиксирует то, что вы отдали сообществу, а ЗРНО даёт вам голос при принятии решений. Членство бесплатное.","KOLO je sustav evidencije doprinosa zajedničkom dobru, utemeljen na uzajamnosti. POEN bilježi što si dao zajednici, ZRNO ti daje glas u odlukama. Članstvo je besplatno.","A KOLO a közjóhoz való hozzájárulás nyilvántartásának rendszere, amely a kölcsönösségen alapul. A POEN rögzíti, mit adtál a közösségnek, a ZRNO pedig szavazatot ad neked a döntésekben. A tagság ingyenes."
"interfejs","login","login.naslov","Prijava","Sign In","Вход","Prijava","Bejelentkezés"
"interfejs","login","login.podnaslov","Dobrodošli nazad u KOLO","Welcome back to Circle","С возвращением в КОЛО","Dobro došli natrag u KOLO","Üdvözöljük vissza a Kör-ben"
"interfejs","login","login.email","Email","Email","Email","E-mail","Email"
"interfejs","login","login.lozinka","Lozinka","Password","Пароль","Lozinka","Jelszó"
"interfejs","login","login.placeholder_email","vas@email.com","your@email.com","vas@email.com","vas@email.com","az@email.com"
"interfejs","login","login.placeholder_lozinka","••••••••","••••••••","••••••••","••••••••","••••••••"
"interfejs","login","login.dugme","Prijavi se","Sign In","Войти","Prijavi se","Bejelentkezés"
"interfejs","login","login.dugme_loading","Prijava u toku...","Signing in...","Выполняется вход...","Prijava u tijeku...","Bejelentkezés..."
"interfejs","login","login.dugme_google","Prijavi se sa Google","Continue with Google","Войти через Google","Prijavi se putem Googlea","Bejelentkezés Google-lel"
"interfejs","login","login.registruj_boks_naslov","Nemate nalog?","Don't have an account?","Нет учётной записи?","Nemate račun?","Nincs még fiókja?"
"interfejs","login","login.registruj_boks_tekst","Napravite svoj nalog za par minuta.","Create your account in a couple of minutes.","Создайте её за пару минут.","Napravite svoj račun za nekoliko minuta.","Hozza létre fiókját néhány perc alatt."
"interfejs","login","login.registruj_boks_dugme","Napravite nalog","Create an account","Создать учётную запись","Napravite račun","Fiók létrehozása"
"interfejs","login","login.registruj_boks_google","Napravite nalog sa Google","Sign up with Google","Создать через Google","Napravite račun putem Googlea","Regisztráció Google-lel"
"interfejs","login","login.nalog_kreiran","Nalog je kreiran. Prijavi se za nastavak — potvrdi te neko ko te poznaje, ili se možeš predstaviti mreži.","Account created. Sign in to continue — someone who knows you confirms you, or you can introduce yourself to the network.","Учётная запись создана. Войдите, чтобы продолжить — вас подтвердит тот, кто вас знает, или вы можете представиться сети.","Račun je kreiran. Prijavi se za nastavak — potvrđuje te netko tko te poznaje, ili se možeš predstaviti mreži.","A fiók létrehozva. Jelentkezz be a folytatáshoz — egy ismerősöd igazol, vagy bemutatkozhatsz a hálózatnak."
"interfejs","login","login.greska_email_obavezan","Email je obavezan.","Email is required.","Email обязателен.","E-mail je obavezan.","Az email kötelező."
"interfejs","login","login.greska_email_neispravan","Unesite ispravnu email adresu.","Enter a valid email address.","Введите корректный email.","Unesite ispravnu e-mail adresu.","Adjon meg érvényes email címet."
"interfejs","login","login.greska_lozinka_obavezna","Lozinka je obavezna.","Password is required.","Пароль обязателен.","Lozinka je obavezna.","A jelszó kötelező."
"interfejs","login","login.greska_pogresni_podaci","Pogrešan email ili lozinka.","Wrong email or password.","Неверный email или пароль.","Pogrešan e-mail ili lozinka.","Helytelen email vagy jelszó."
"interfejs","login","login.greska_registruj_cta","Nemate nalog? Registrujte se","Don't have an account? Sign up","Нет учётной записи? Зарегистрируйтесь","Nemate račun? Registrirajte se","Nincs még fiókja? Regisztráljon"
"interfejs","login","login.greska_prijava","Greška pri prijavi. Pokušajte ponovo.","Sign in error. Please try again.","Ошибка при входе. Попробуйте ещё раз.","Greška pri prijavi. Pokušajte ponovno.","Bejelentkezési hiba. Kérjük próbálja újra."
"interfejs","login","login.greska_oauth","Prijava preko Google-a nije uspela. Pokušajte ponovo.","Google sign-in didn't complete. Please try again.","Вход через Google не удался. Попробуйте ещё раз.","Prijava putem Googlea nije uspjela. Pokušajte ponovno.","A Google-bejelentkezés nem sikerült. Kérjük, próbálja újra."
"interfejs","login","login.zaboravljena_lozinka","Zaboravljena lozinka?","Forgot password?","Забыли пароль?","Zaboravljena lozinka?","Elfelejtett jelszó?"
"interfejs","login","login.prikazi_lozinku","Prikaži lozinku","Show password","Показать пароль","Prikaži lozinku","Jelszó megjelenítése"
"interfejs","login","login.sakrij_lozinku","Sakrij lozinku","Hide password","Скрыть пароль","Sakrij lozinku","Jelszó elrejtése"
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.naslov","Zaboravljena lozinka","Forgot Password","Забытый пароль","Zaboravljena lozinka","Elfelejtett jelszó"
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.podnaslov","Unesite email i poslaćemo vam link za resetovanje.","Enter your email and we'll send you a reset link.","Введите email — мы пришлём ссылку для сброса.","Unesite e-mail i poslat ćemo vam poveznicu za ponovno postavljanje lozinke.","Adja meg az email címét és küldünk egy visszaállítási linket."
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.email","Email","Email","Email","E-mail","Email"
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.placeholder_email","vas@email.com","your@email.com","vas@email.com","vas@email.com","az@email.com"
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.dugme","Pošalji link","Send link","Отправить ссылку","Pošalji poveznicu","Link küldése"
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.dugme_loading","Slanje...","Sending...","Отправка...","Slanje...","Küldés..."
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.nazad_na_login","Nazad na prijavu","Back to sign in","Назад ко входу","Natrag na prijavu","Vissza a bejelentkezéshez"
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.poslato_poruka","Ako postoji nalog sa tim email-om, link za resetovanje je poslat na vašu adresu.","If an account with that email exists, a reset link has been sent to your address.","Если учётная запись с таким email существует, ссылка для сброса отправлена на ваш адрес.","Ako postoji račun s tom e-mail adresom, poveznica za ponovno postavljanje poslana je na vašu adresu.","Ha létezik fiók ezzel az email címmel, elküldtük a visszaállítási linket."
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.poslato_napomena","Proverite i Spam/Junk fasciklu. Link važi 1 sat.","Check your Spam/Junk folder. The link is valid for 1 hour.","Проверьте и папку «Спам». Ссылка действует 1 час.","Provjerite i mapu Spam/Junk. Poveznica vrijedi 1 sat.","Ellenőrizze a Spam/Levélszemét mappát. A link 1 óráig érvényes."
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.greska_email_obavezan","Email je obavezan.","Email is required.","Email обязателен.","E-mail je obavezan.","Az email kötelező."
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.greska_email_neispravan","Unesite ispravnu email adresu.","Enter a valid email address.","Введите корректный email.","Unesite ispravnu e-mail adresu.","Adjon meg érvényes email címet."
"interfejs","zaboravljenaLozinka","zaboravljenaLozinka.greska_zahtev","Greška pri slanju zahteva. Pokušajte ponovo.","Error sending request. Please try again.","Ошибка при отправке запроса. Попробуйте ещё раз.","Greška pri slanju zahtjeva. Pokušajte ponovno.","Hiba a kérés küldésekor. Kérjük próbálja újra."
"interfejs","resetLozinka","resetLozinka.naslov","Nova lozinka","New Password","Новый пароль","Nova lozinka","Új jelszó"
"interfejs","resetLozinka","resetLozinka.podnaslov","Postavite novu lozinku za vaš nalog.","Set a new password for your account.","Задайте новый пароль для вашей учётной записи.","Postavite novu lozinku za svoj račun.","Adjon meg egy új jelszót a fiókjához."
"interfejs","resetLozinka","resetLozinka.nova_lozinka","Nova lozinka","New password","Новый пароль","Nova lozinka","Új jelszó"
"interfejs","resetLozinka","resetLozinka.placeholder_lozinka","••••••••","••••••••","••••••••","••••••••","••••••••"
"interfejs","resetLozinka","resetLozinka.dugme","Sačuvaj novu lozinku","Save new password","Сохранить новый пароль","Spremi novu lozinku","Új jelszó mentése"
"interfejs","resetLozinka","resetLozinka.dugme_loading","Čuvanje...","Saving...","Сохранение...","Spremanje...","Mentés..."
"interfejs","resetLozinka","resetLozinka.provera_linka","Provera linka...","Checking link...","Проверка ссылки...","Provjera poveznice...","Link ellenőrzése..."
"interfejs","resetLozinka","resetLozinka.link_nevazeci","Link je nevažeći ili je istekao. Zatražite novi link.","The link is invalid or has expired. Request a new link.","Ссылка недействительна или истекла. Запросите новую.","Poveznica je nevažeća ili je istekla. Zatražite novu poveznicu.","A link érvénytelen vagy lejárt. Kérjen új linket."
"interfejs","resetLozinka","resetLozinka.trazi_novi_link","Zatraži novi link","Request a new link","Запросить новую ссылку","Zatraži novu poveznicu","Új link kérése"
"interfejs","resetLozinka","resetLozinka.uspesno_promenjena","Lozinka je uspešno promenjena.","Password changed successfully.","Пароль успешно изменён.","Lozinka je uspješno promijenjena.","A jelszó sikeresen megváltozott."
"interfejs","resetLozinka","resetLozinka.preusmeravanje","Preusmeravanje na prijavu...","Redirecting to sign in...","Переход к входу...","Preusmjeravanje na prijavu...","Átirányítás a bejelentkezéshez..."
"interfejs","resetLozinka","resetLozinka.greska_lozinka_kratka","Lozinka mora imati najmanje 8 karaktera.","Password must be at least 8 characters.","Пароль должен содержать не менее 8 символов.","Lozinka mora imati najmanje 8 znakova.","A jelszónak legalább 8 karakteresnek kell lennie."
"interfejs","resetLozinka","resetLozinka.greska_zahtev","Greška pri promeni lozinke. Pokušajte ponovo.","Error changing password. Please try again.","Ошибка при смене пароля. Попробуйте ещё раз.","Greška pri promjeni lozinke. Pokušajte ponovno.","Hiba a jelszó megváltoztatásakor. Kérjük próbálja újra."
"interfejs","resetLozinka","resetLozinka.prikazi_lozinku","Prikaži lozinku","Show password","Показать пароль","Prikaži lozinku","Jelszó megjelenítése"
"interfejs","resetLozinka","resetLozinka.sakrij_lozinku","Sakrij lozinku","Hide password","Скрыть пароль","Sakrij lozinku","Jelszó elrejtése"
"interfejs","odjavaObavestenja","odjavaObavestenja.naslov","Odjava sa obaveštenja","Unsubscribe from notifications","Отписка от уведомлений","Odjava s obavijesti","Leiratkozás az értesítésekről"
"interfejs","odjavaObavestenja","odjavaObavestenja.podnaslov","Isključite email obaveštenja sa KOLO platforme.","Turn off email notifications from the KOLO platform.","Отключите email-уведомления платформы КОЛО.","Isključite email obavijesti s KOLO platforme.","Kapcsold ki a KOLO platform e-mail értesítéseit."
"interfejs","odjavaObavestenja","odjavaObavestenja.podnaslov_gotovo","Obaveštenja su isključena.","Notifications are turned off.","Уведомления отключены.","Obavijesti su isključene.","Az értesítések ki vannak kapcsolva."
"interfejs","odjavaObavestenja","odjavaObavestenja.objasnjenje","Ako kliknete na dugme ispod, više vam nećemo slati email obaveštenja o potvrdama, porukama i odlukama. Zvonce u aplikaciji nastavlja da radi.","If you click the button below, we will stop sending you email notifications about confirmations, messages and decisions. The in-app bell keeps working.","Если вы нажмёте кнопку ниже, мы больше не будем присылать email-уведомления о подтверждения, сообщениях и решениях. Колокольчик в приложении продолжит работать.","Ako kliknete na gumb ispod, više vam nećemo slati email obavijesti o potvrdi, porukama i odlukama. Zvono u aplikaciji nastavlja raditi.","Ha az alábbi gombra kattintasz, többé nem küldünk e-mail értesítést megerősítésről, üzenetekről és döntésekről. Az alkalmazásbeli csengő továbbra is működik."
"interfejs","odjavaObavestenja","odjavaObavestenja.napomena_lozinka","Email za resetovanje lozinke i dalje stiže — bez njega ne biste mogli da povratite pristup nalogu.","Password reset emails still arrive — without them you could not regain access to your account.","Письмо для сброса пароля будет приходить и дальше — без него вы не смогли бы восстановить доступ к учётной записи.","Email za resetiranje lozinke i dalje stiže — bez njega ne biste mogli vratiti pristup računu.","A jelszó-visszaállító e-mail továbbra is megérkezik — nélküle nem tudnád visszaszerezni a hozzáférést a fiókodhoz."
"interfejs","odjavaObavestenja","odjavaObavestenja.dugme","Isključi email obaveštenja","Turn off email notifications","Отключить email-уведомления","Isključi email obavijesti","E-mail értesítések kikapcsolása"
"interfejs","odjavaObavestenja","odjavaObavestenja.dugme_loading","Isključujem…","Turning off…","Отключаю…","Isključujem…","Kikapcsolás…"
"interfejs","odjavaObavestenja","odjavaObavestenja.uspesno","Isključili smo email obaveštenja za vaš nalog.","We have turned off email notifications for your account.","Мы отключили email-уведомления для вашей учётной записи.","Isključili smo email obavijesti za vaš račun.","Kikapcsoltuk a fiókod e-mail értesítéseit."
"interfejs","odjavaObavestenja","odjavaObavestenja.ponovo_uputstvo","Kad god poželite, možete ih ponovo uključiti u svom profilu.","You can turn them back on any time in your profile.","Вы можете снова включить их в своём профиле в любой момент.","Kad god poželite, možete ih ponovno uključiti u svom profilu.","Bármikor újra bekapcsolhatod a profilodban."
"interfejs","odjavaObavestenja","odjavaObavestenja.na_profil","Otvori profil","Open profile","Открыть профиль","Otvori profil","Profil megnyitása"
"interfejs","odjavaObavestenja","odjavaObavestenja.greska","Nešto nije uspelo. Pokušajte ponovo ili isključite obaveštenja u profilu.","Something went wrong. Try again, or turn notifications off in your profile.","Что-то не получилось. Попробуйте ещё раз или отключите уведомления в профиле.","Nešto nije uspjelo. Pokušajte ponovno ili isključite obavijesti u profilu.","Valami nem sikerült. Próbáld újra, vagy kapcsold ki az értesítéseket a profilodban."
"interfejs","registracija","registracija.naslov","Registracija","Registration","Регистрация","Registracija","Regisztráció"
"interfejs","registracija","registracija.podnaslov","Pridružite se KOLO zajednici","Join the KOLO community","Присоединяйтесь к сообществу КОЛО","Pridružite se KOLO zajednici","Csatlakozzon a KOLO közösséghez"
"interfejs","registracija","registracija.email","Email","Email","Email","E-mail","Email"
"interfejs","registracija","registracija.pseudonim","Pseudonim","Pseudonym","Псевдоним","Pseudonim","Álnév"
"interfejs","registracija","registracija.lozinka","Lozinka","Password","Пароль","Lozinka","Jelszó"
"interfejs","registracija","registracija.mesto","Mesto","Place","Населённый пункт","Mjesto","Hely"
"interfejs","registracija","registracija.mesto_opis","Bira se iz spiska naselja — jedno mesto. Pomaže da vidite oglase u blizini. Možete preskočiti i dodati kasnije.","Pick one place from the list of settlements. Helps you see listings nearby. You can skip and add it later.","Выберите один населённый пункт из списка. Помогает видеть объявления поблизости. Можно пропустить и добавить позже.","Bira se s popisa naselja — jedno mjesto. Pomaže da vidite oglase u blizini. Možete preskočiti i dodati kasnije.","Válasszon egy települést a listából. Segít a közeli hirdetések megjelenítésében. Kihagyhatja, és később is megadhatja."
"interfejs","registracija","registracija.opciono","(opciono)","(optional)","(необязательно)","(neobavezno)","(opcionális)"
"interfejs","registracija","registracija.placeholder_pseudonim","VasePseudonim","YourPseudonym","ВашПсевдоним","VašPseudonim","AzÖnÁlneve"
"interfejs","registracija","registracija.placeholder_lozinka","••••••••","••••••••","••••••••","••••••••","••••••••"
"interfejs","registracija","registracija.pseudonim_provera","...","...","...","...","..."
"interfejs","registracija","registracija.pseudonim_slobodan_opis","Javno vidljiv, ne prikazuje pravo ime. Latinična slova, brojevi i _ . - (bez razmaka i srpskih slova).","Publicly visible, doesn't show real name. Latin letters, digits and _ . - (no spaces or accented letters).","Виден всем, настоящее имя не показывается. Латинские буквы, цифры и _ . - (без пробелов и кириллицы).","Javno vidljiv, ne prikazuje pravo ime. Latinična slova, brojevi i _ . - (bez razmaka i hrvatskih slova).","Nyilvánosan látható, nem mutatja a valódi nevet. Latin betűk, számok és _ . - (szóköz és ékezet nélkül)."
"interfejs","registracija","registracija.pseudonim_zauzet","Ovaj pseudonim je zauzet","This pseudonym is taken","Этот псевдоним занят","Ovaj pseudonim je zauzet","Ez az álnév már foglalt"
"interfejs","registracija","registracija.lozinka_slaba","Slaba","Weak","Слабый","Slaba","Gyenge"
"interfejs","registracija","registracija.lozinka_srednja","Srednja","Fair","Средний","Srednja","Közepes"
"interfejs","registracija","registracija.lozinka_dobra","Dobra","Good","Хороший","Dobra","Jó"
"interfejs","registracija","registracija.lozinka_jaka","Jaka","Strong","Надёжный","Jaka","Erős"
"interfejs","registracija","registracija.uslovi","Prihvatam","I accept the","Принимаю","Prihvaćam","Elfogadom a"
"interfejs","registracija","registracija.uslovi_link","Uslove korišćenja","Terms of Use","Условия пользования","Uvjete korištenja","Felhasználási feltételeket"
"interfejs","registracija","registracija.privatnost_link","Politiku privatnosti","Privacy Policy","Политику конфиденциальности","Politiku privatnosti","Adatvédelmi szabályzatot"
"interfejs","registracija","registracija.dugme","Registruj se","Register","Зарегистрироваться","Registriraj se","Regisztráljon"
"interfejs","registracija","registracija.dugme_loading","Registracija...","Registering...","Регистрация...","Registracija...","Regisztráció..."
"interfejs","registracija","registracija.vec_imate_nalog","Već imate nalog?","Already have an account?","Уже есть учётная запись?","Već imate račun?","Már van fiókja?"
"interfejs","registracija","registracija.prijavite_se","Prijavite se","Sign In","Войдите","Prijavite se","Bejelentkezés"
